ID,Cropping,Denoising,PostResizeSharpening,JPEG,code
225,604,7,0.838,85.0,crop=604_denoising=7_sharpening=0.838
226,604,7,1.003,85.0,crop=604_denoising=7_sharpening=1.003
227,604,7,1.169,85.0,crop=604_denoising=7_sharpening=1.169
228,604,7,1.334,85.0,crop=604_denoising=7_sharpening=1.334
229,604,7,1.5,85.0,crop=604_denoising=7_sharpening=1.5
230,604,10,0.01,85.0,crop=604_denoising=10_sharpening=0.01
231,604,10,0.176,85.0,crop=604_denoising=10_sharpening=0.176
232,604,10,0.341,85.0,crop=604_denoising=10_sharpening=0.341
233,604,10,0.507,85.0,crop=604_denoising=10_sharpening=0.507
234,604,10,0.672,85.0,crop=604_denoising=10_sharpening=0.672
235,604,10,0.838,85.0,crop=604_denoising=10_sharpening=0.838
236,604,10,1.003,85.0,crop=604_denoising=10_sharpening=1.003
237,604,10,1.169,85.0,crop=604_denoising=10_sharpening=1.169
238,604,10,1.334,85.0,crop=604_denoising=10_sharpening=1.334
239,604,10,1.5,85.0,crop=604_denoising=10_sharpening=1.5
240,604,13,0.01,85.0,crop=604_denoising=13_sharpening=0.01
241,604,13,0.176,85.0,crop=604_denoising=13_sharpening=0.176
242,604,13,0.341,85.0,crop=604_denoising=13_sharpening=0.341
243,604,13,0.507,85.0,crop=604_denoising=13_sharpening=0.507
244,604,13,0.672,85.0,crop=604_denoising=13_sharpening=0.672
245,604,13,0.838,85.0,crop=604_denoising=13_sharpening=0.838
246,604,13,1.003,85.0,crop=604_denoising=13_sharpening=1.003
247,604,13,1.169,85.0,crop=604_denoising=13_sharpening=1.169
248,604,13,1.334,85.0,crop=604_denoising=13_sharpening=1.334
249,604,13,1.5,85.0,crop=604_denoising=13_sharpening=1.5
250,604,17,0.01,85.0,crop=604_denoising=17_sharpening=0.01
251,604,17,0.176,85.0,crop=604_denoising=17_sharpening=0.176
252,604,17,0.341,85.0,crop=604_denoising=17_sharpening=0.341
253,604,17,0.507,85.0,crop=604_denoising=17_sharpening=0.507
254,604,17,0.672,85.0,crop=604_denoising=17_sharpening=0.672
255,604,17,0.838,85.0,crop=604_denoising=17_sharpening=0.838
256,604,17,1.003,85.0,crop=604_denoising=17_sharpening=1.003
257,604,17,1.169,85.0,crop=604_denoising=17_sharpening=1.169
258,604,17,1.334,85.0,crop=604_denoising=17_sharpening=1.334
259,604,17,1.5,85.0,crop=604_denoising=17_sharpening=1.5
260,604,20,0.01,85.0,crop=604_denoising=20_sharpening=0.01
261,604,20,0.176,85.0,crop=604_denoising=20_sharpening=0.176
262,604,20,0.341,85.0,crop=604_denoising=20_sharpening=0.341
263,604,20,0.507,85.0,crop=604_denoising=20_sharpening=0.507
264,604,20,0.672,85.0,crop=604_denoising=20_sharpening=0.672
265,604,20,0.838,85.0,crop=604_denoising=20_sharpening=0.838
266,604,20,1.003,85.0,crop=604_denoising=20_sharpening=1.003
267,604,20,1.169,85.0,crop=604_denoising=20_sharpening=1.169
268,604,20,1.334,85.0,crop=604_denoising=20_sharpening=1.334
269,604,20,1.5,85.0,crop=604_denoising=20_sharpening=1.5
270,604,23,0.01,85.0,crop=604_denoising=23_sharpening=0.01
271,604,23,0.176,85.0,crop=604_denoising=23_sharpening=0.176
272,604,23,0.341,85.0,crop=604_denoising=23_sharpening=0.341
273,604,23,0.507,85.0,crop=604_denoising=23_sharpening=0.507
274,604,23,0.672,85.0,crop=604_denoising=23_sharpening=0.672
275,604,23,0.838,85.0,crop=604_denoising=23_sharpening=0.838
276,604,23,1.003,85.0,crop=604_denoising=23_sharpening=1.003
277,604,23,1.169,85.0,crop=604_denoising=23_sharpening=1.169
278,604,23,1.334,85.0,crop=604_denoising=23_sharpening=1.334
279,604,23,1.5,85.0,crop=604_denoising=23_sharpening=1.5
280,604,26,0.01,85.0,crop=604_denoising=26_sharpening=0.01
281,604,26,0.176,85.0,crop=604_denoising=26_sharpening=0.176
282,604,26,0.341,85.0,crop=604_denoising=26_sharpening=0.341
283,604,26,0.507,85.0,crop=604_denoising=26_sharpening=0.507
284,604,26,0.672,85.0,crop=604_denoising=26_sharpening=0.672
285,604,26,0.838,85.0,crop=604_denoising=26_sharpening=0.838
286,604,26,1.003,85.0,crop=604_denoising=26_sharpening=1.003
287,604,26,1.169,85.0,crop=604_denoising=26_sharpening=1.169
288,604,26,1.334,85.0,crop=604_denoising=26_sharpening=1.334
289,604,26,1.5,85.0,crop=604_denoising=26_sharpening=1.5
290,604,30,0.01,85.0,crop=604_denoising=30_sharpening=0.01
291,604,30,0.176,85.0,crop=604_denoising=30_sharpening=0.176
292,604,30,0.341,85.0,crop=604_denoising=30_sharpening=0.341
293,604,30,0.507,85.0,crop=604_denoising=30_sharpening=0.507
294,604,30,0.672,85.0,crop=604_denoising=30_sharpening=0.672
295,604,30,0.838,85.0,crop=604_denoising=30_sharpening=0.838
296,604,30,1.003,85.0,crop=604_denoising=30_sharpening=1.003
297,604,30,1.169,85.0,crop=604_denoising=30_sharpening=1.169
298,604,30,1.334,85.0,crop=604_denoising=30_sharpening=1.334
299,604,30,1.5,85.0,crop=604_denoising=30_sharpening=1.5
300,651,1,0.01,85.0,crop=651_denoising=1_sharpening=0.01
301,651,1,0.176,85.0,crop=651_denoising=1_sharpening=0.176
302,651,1,0.341,85.0,crop=651_denoising=1_sharpening=0.341
303,651,1,0.507,85.0,crop=651_denoising=1_sharpening=0.507
